street_address,city,state,zip_code,artist,year,number_of_districts,cultural_districts,supervisor_district,the_geom,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,Neighborhoods
65 Oak Grove Street,San Francisco,California,94107,Rattlecan Blasters (Cameron Moberg and Aaron Vickery),2009/10,2,SoMa Pilipinas – Filipino Cultural District;Leather & LGBTQ Cultural District,06,POINT (-122.40164796899994 37.77755298100004),32,1,10,34,32
835 Pacific Avenue,San Francisco,California,94133,Wes Wong,2010/11,0,,03,POINT (-122.40907802399994 37.79643900100007),104,6,3,6,104
1089 Market Street,San Francisco,California,94103,Tirso Gonzalez,2010/11,1,SoMa Pilipinas – Filipino Cultural District,06,POINT (-122.41189098999997 37.780426004000056),32,5,10,34,32
4901-4911 3rd Street,San Francisco,California,94124,Bryana Fleming,2009/10,1,African American Arts and Cultural District,10,POINT (-122.390731965 37.73366701200007),86,2,9,1,86
754 Washington Street,San Francisco,California,94108,Mel Waters,2014/15,0,,03,POINT (-122.406187307 37.79526736100007),104,6,3,6,104
209 Jones Street,San Francisco,California,94102,Cameron Moberg,2010/11,0,,06,POINT (-122.41248731099996 37.78309751200004),20,5,10,36,20
2957 22nd Street,San Francisco,California,94110,Francisco Aquino,2013/14,1,Calle 24 Latino Cultural District,09,POINT (-122.41357902199996 37.75552898500007),53,3,2,20,53
1233-1235 Divisadero Street,San Francisco,California,94115,Mel Waters,2013/14,0,,05,POINT (-122.43932202599994 37.78105401800008),13,7,11,39,13
435 Duboce Avenue,San Francisco,California,94117,Cruptic c/o Ian Ross Gallery,2013/14,0,,08,POINT (-122.42986103599999 37.76916500100003),28,7,5,5,28
866 Valencia Street,San Francisco,California,94110,Eli Lippert,2011/12,0,,08,POINT (-122.421635037 37.75898199400007),37,3,5,20,37
1330 Polk Street,San Francisco,California,94109,Kara Maria,2020,0,,03,POINT (-122.42020298799997 37.789322011000024),50,4,3,21,50
838 Pacific Avenue,San Francisco,California,94133,Chor Boogie,2010/11,0,,03,POINT (-122.40934196999996 37.79706898500007),104,6,3,6,104
4744 3rd Street,San Francisco,California,94124,Mel Waters,2014/15,1,African American Arts and Cultural District,10,POINT (-122.39094201599995 37.735120015000064),86,2,9,1,86
1325 Valencia Street,San Francisco,California,94110,Cameron Moberg,2011/12,0,,09,POINT (-122.42029200399998 37.751714004000064),53,3,2,20,53
2000 Judah Street,San Francisco,California,94122,Nils Thorsen,2010/11,1,Sunset Chinese Cultural District,04,POINT (-122.48361895899995 37.761655989000076),39,10,7,35,39
466 Brannan Street,San Francisco,California,94107,Ian Ross,2011/12,1,SoMa Pilipinas – Filipino Cultural District,06,POINT (-122.39603796199998 37.779026016000046),32,1,10,34,32
355 9th Street,San Francisco,California,94103,Kristin Brandt,2010/11,2,SoMa Pilipinas – Filipino Cultural District;Leather & LGBTQ Cultural District,06,POINT (-122.41058795499998 37.77303230000007),32,1,10,34,32
4923 3rd Street,San Francisco,California,94124,Keena Ramono,2011/12,1,African American Arts and Cultural District,10,POINT (-122.39084595899999 37.733619990000086),86,2,9,1,86
1 Lowell Street,San Francisco,California,94112,Vera Lowdermilk,2010/11,0,,11,POINT (-122.44612402399997 37.71128200800007),58,9,1,7,58
